learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Pool Size
50000.0,19.25,0.078125,12800.0,1.875,533.3333333333334,0.0,49000.0,12.24893463238247,-4306.345177664959,-40.7344357976654,50000.0,0.0,25.0
51000.0,19.640625,0.15625,6400.0,1.171875,853.3333333333334,0.0,50000.0,11.628101559811522,-4273.594132029359,-39.065536811008286,51000.0,0.0,25.0
52000.0,19.90625,0.15625,6400.0,0.703125,1422.2222222222222,0.0,51000.0,11.755449207120147,-4289.588377723955,-40.21966122669966,52000.0,0.0,25.0
53000.0,20.3125,0.15625,6400.0,1.40625,711.1111111111111,0.0,52000.0,11.31858443550218,-4272.405660377345,-38.98343204138241,53000.0,0.0,25.0
learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Pool Size
2000.0,0.390625,0.3125,3200.0,1.484375,673.6842105263158,0.0,1000.0,0.0,-2299.9999999999977,0.0,2000.0,0.0,10.0
3000.0,0.6875,0.15625,6400.0,0.78125,1280.0,0.0,2000.0,0.0,-2109.9999999999977,0.0,3000.0,0.0,15.0
4000.0,1.046875,0.15625,6400.0,1.09375,914.2857142857143,0.0,3000.0,3.633819559159235,-2151.612903225801,-6.402439024390249,4000.0,0.0,20.0
5000.0,1.546875,0.15625,6400.0,1.953125,512.0,0.0,4000.0,6.6364840343204445,-2151.6129032258123,-6.402439024390251,5000.0,0.0,25.0
6000.0,1.875,0.234375,4266.666666666667,0.78125,1280.0,0.0,5000.0,8.349913726806282,-2151.6129032258123,-6.402439024390259,6000.0,0.0,25.0
7000.0,2.359375,0.234375,4266.666666666667,1.640625,609.5238095238095,0.0,6000.0,9.457683303601133,-2151.6129032258127,-6.402439024390249,7000.0,0.0,25.0
